35a - Antenatal care coverage  at least one visit

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2007,Female,96.3,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2009,Female,94.8,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2010,Female,98.2,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2004,Female,84,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2006,Female,94.2,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2011,Female,98.8,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2012,Female,95.5,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2013,Female,95.6,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,462,Maldives,2014,Female,95.6,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,524,Nepal,2000,Female,11.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,524,Nepal,2001,Female,10.9,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,524,Nepal,2006,Female,18.7,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,524,Nepal,2011,Female,36,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,524,Nepal,2014,Female,55.6,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,524,Nepal,2016,Female,58,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2005,Female,31,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2007,Female,38.8,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2009,Female,41,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2011,Female,43,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2002,Female,23,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2012,Female,51,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2013,Female,52.1,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,586,Pakistan,2018,Female,69.3,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,8,Albania,2000,Female,99.1,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,8,Albania,2005,Female,99.8,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,8,Albania,2009,Female,99.3,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,8,Albania,2002,Female,98,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,8,Albania,2018,Female,99.8,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,20,Andorra,2015,Female,100,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,20,Andorra,2016,Female,100,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,20,Andorra,2017,Female,100,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2003,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2008,Female,99.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2000,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2005,Female,99.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2007,Female,99.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2009,Female,99.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2010,Female,99.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2001,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2004,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2006,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2011,Female,99.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2002,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2012,Female,99.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2013,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2014,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2015,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,36,Australia,2016,Female,97,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2003,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2008,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2000,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2005,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2007,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2009,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2010,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2001,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2004,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2006,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2011,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2002,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2012,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2013,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2014,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2015,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2016,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2017,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2003,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2008,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2000,Female,98.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2005,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2007,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2009,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2010,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2001,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2004,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2006,Female,99.4,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2011,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2002,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2012,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2014,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2015,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2016,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2017,Female,99.9,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2003,Female,99.2,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2008,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2000,Female,99.8,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2005,Female,99.4,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2007,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2009,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2010,Female,99.5,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2001,Female,98.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2004,Female,99.4,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2006,Female,99.4,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2002,Female,99.2,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2013,Female,99.7,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2014,Female,99.7,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,100,Bulgaria,2015,Female,99.8,-,-,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,112,Belarus,2003,Female,99.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,112,Belarus,2008,Female,99.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,112,Belarus,2000,Female,99.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,112,Belarus,2005,Female,100,-,-,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,112,Belarus,2007,Female,99.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,112,Belarus,2009,Female,99.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,112,Belarus,2010,Female,99.9,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
